id, title, releaseYear
1331,Play It Again Sam,1972
1332,The Heartbreak Kid,1972
1333,Cabaret,1972
1334,Jeremiah Johnson,1972
1335,The Candidate,1972
1336,"What's Up, Doc?",1972
1337,Sounder,1972
1338,Everything You Always Wanted To Know About Sex*,1972
1339,Badlands,1973
1340,Scarecrow,1973
1341,The Long Goodbye,1973
1342,The Last Detail,1973
1343,Mean Streets,1973
1344,Sleeper,1973
1345,Serpico,1973
1346,Coffy,1973
1347,Enter The Dragon,1973
1348,American Graffiti,1973
1349,The Sting,1973
1350,The Way We Were,1973
1351,The Exorcist,1973
1352,Papillon,1973
1353,The Paper Chase,1973
1354,Save The Tiger,1973
1355,Don't Look Now,1973
1356,Paper Moon,1973
1357,The Sugarland Express,1974
1358,The Godfather Part II,1974
1359,Blazing Saddles,1974
1360,Young Frankenstein,1974
1361,Foxy Brown,1974
1362,Lenny,1974
1363,Chinatown,1974
1364,A Woman Under The Influence,1974
1365,Alice Doesn't Live Here Anymore,1974
1366,The Great Gatsby,1974
1367,The Conversation,1974
1368,The Parallax View,1974
1369,California Split,1974
1370,Love and Death,1975
1371,Dog Day Afternoon,1975
1372,"Sheba, Baby",1975
1373,One Flew Over The Cuckoo's Nest,1975
1374,Jaws,1975
1375,Nashville,1975
1376,Shampoo,1975
1377,The Rocky Horror Picture Show,1975
1378,Three Days Of The Condor,1975
1379,Monty Python and The Holy Grail,1975
1380,Taxi Driver,1976
1381,Marathon Man,1976
1382,All The President's Men,1976
1383,Network,1976
1384,Rocky,1976
1385,The Outlaw Josey Wales,1976
1386,Carrie,1976
1387,Silver Streak,1976
1388,The Bad News Bears,1976
1389,Bound For Glory,1976
1390,Annie Hall,1977
1391,Close Encounters Of The Third Kind,1977
1392,Opening Night,1977
1393,Saturday Night Fever,1977
1394,Star Wars: A New Hope,1977
1395,The Turning Point,1977
1396,The Goodbye Girl,1977
1397,Slap Shot,1977
1398,"New York, New York",1977
1399,Julia,1977
1400,Smokey and The Bandit,1977
1401,National Lampoon's Animal House,1978
1402,An Unmarried Woman,1978
1403,Grease,1978
1404,The Deer Hunter,1978
1405,Coming Home,1978
1406,Superman The Movie,1978
1407,Heaven Can Wait,1978
1408,Days Of Heaven,1978
1409,Midnight Express,1978
1410,Halloween,1978
1411,Manhattan,1979
1412,Being There,1979
1413,All That Jazz,1979
1414,Apocalypse Now,1979
1415,Alien,1979
1416,The China Syndrome,1979
1417,Norma Rae,1979
1418,Breaking Away,1979
1419,Kramer Vs. Kramer,1979
1420,Raging Bull,1980
1421,The Elephant Man,1980
1422,Coal Miner's Daughter,1980
1423,Cruising,1980
1424,Ordinary People,1980
1425,The Shining,1980
1426,Heaven's Gate,1980
1427,Star Wars: The Empire Strikes Back,1980
1428,Airplane!,1980
1429,The Blues Brothers,1980
1430,9 to 5,1980
1431,Caddyshack,1980
1432,Raiders of the Lost Ark,1981
1433,Escape from New York,1981
1434,Mad Max 2: The Road Warrior,1981
1435,Reds,1981
1436,Ragtime,1981
1437,The French Lieutenant's Woman,1981
1438,Chariots of Fire,1981
1439,On Golden Pond,1981
1440,E.T. the Extra-Terrestrial,1982
1441,The Verdict,1982
1442,Gandhi,1982
1443,Blade Runner,1982
1444,Poltergeist,1982
1445,Sophie's Choice,1982
1446,Diner,1982
1447,Tootsie,1982
1448,The King of Comedy,1982
1449,Fast Times at Ridgemont High,1982
1450,Rocky III,1982
1451,48 Hrs.,1982
1452,First Blood,1982
1453,Conan the Barbarian,1982
1454,The Big Chill,1983
1455,Terms of Endearment,1983
1456,Zelig,1983
1457,The Right Stuff,1983
1458,Scarface,1983
1459,Flashdance,1983
1460,Trading Places,1983
1461,Risky Business,1983
1462,Star Wars: Return of the Jedi,1983
1463,Silkwood,1983
1464,This is Spinal Tap,1984
1465,Ghostbusters,1984
1466,Beverly Hills Cop,1984
1467,The Natural,1984
1468,Purple Rain,1984
1469,Gremlins,1984
1470,Sixteen Candles,1984
1471,Splash,1984
